OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0048,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0049,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0050,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Terrestrial_Miscellaneous_Gp(TMEG,Terrestrial_Miscellaneous_Gp(TMEG)_unclassifie,
Otu0051,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0052,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,ASC21,ASC21_unclassified,
Otu0053,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,AMOS1A-4113-D0,AMOS1A-4113-D04_unclassifie,
Otu0054,Archaea,Euryarchaeota,Thermoplasmata,WCHA1-57,WCHA1-57_unclassified,WCHA1-57_unclassified,
Otu0055,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0056,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0057,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,
Otu0058,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0059,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0060,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0061,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,
Otu0062,Archaea,Crenarchaeota,Thermoprotei,Terrestrial_Miscellaneous_Gp(TMCG),Terrestrial_Miscellaneous_Gp(TMCG)_unclassified,Terrestrial_Miscellaneous_Gp(TMCG)_unclassified,
Otu0063,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
Otu0064,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,
Otu0065,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0066,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0067,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0068,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0069,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0070,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0071,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
