,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0041,0,6,0,43,0,0,0,2,3,13,40,5,23,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,10,26,10,0,0,2,2,0,1,1,7,0,0,0,2
Otu0042,0,2,0,11,3,0,1,0,0,6,20,13,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,8,3,12,6,25,0,2,0,0,0,0,4,4,1,0,5,0
Otu0043,0,4,3,3,0,0,0,0,0,1,34,9,30,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,16,1,24,0,0,0,0,0,0,0,0,3,0,0,6
Otu0044,9,25,0,31,0,0,1,0,0,0,0,0,0,1,6,1,0,0,0,2,2,2,0,0,6,0,0,2,0,9,2,32,1,0,0,0,0,0,0,0,1,0,0,0
Otu0045,2,11,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,24,0,0,0,0,0,0,0,0,0,0,0,0
Otu0046,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,57,11,79,0,0,0,0,0,0,0,0,0,0,0,0
Otu0047,1,10,0,18,0,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,22,9,34,3,0,0,0,0,0,0,0,0,0,0,0
Otu0048,0,6,0,10,0,3,0,2,0,4,3,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,10,1,30,0,0,1,0,0,0,2,0,0,0,0,0
Otu0049,0,3,0,13,0,2,0,3,3,0,2,1,5,0,8,0,5,0,0,0,0,0,0,0,1,2,0,5,0,11,5,40,0,0,0,0,3,1,1,0,1,0,4,1
Otu0050,2,7,0,10,3,1,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,43,20,21,0,0,0,0,0,0,0,0,0,0,0,0
Otu0051,8,22,0,29,0,1,0,0,0,2,1,0,1,3,4,0,0,0,1,0,3,0,0,0,0,1,0,0,0,12,9,19,0,0,0,2,0,0,2,0,0,0,0,0
Otu0052,8,49,3,18,0,0,0,0,0,2,1,0,1,1,1,0,0,0,9,5,2,0,0,1,0,0,7,0,0,11,2,10,0,0,0,0,0,0,0,1,0,0,0,0
Otu0053,10,11,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,35,22,38,1,0,0,0,0,0,0,0,0,0,0,0
Otu0054,0,5,3,15,1,3,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,21,10,35,0,0,0,0,2,0,0,0,0,0,0,0
Otu0055,5,5,0,29,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47,14,47,0,0,0,0,0,0,0,0,0,0,0,0
Otu0056,3,25,0,22,0,4,0,0,3,1,0,0,0,1,0,0,2,0,2,3,0,0,3,0,0,0,0,0,0,30,10,30,0,0,0,0,0,0,0,0,0,0,0,0
